utc_time;AUT;BEL;BGR;HRV;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;NLD;NOR;POL;PRT;ROU;SVK;SVN;ESP;SWE;CHE;GBR;CYP;MLT
2015-01-01T16:00:00Z;0.040758;0.492813;0.447512;0.430806;0.115906;0.732140;0.529819;0.274679;0.260377;0.427433;0.393321;0.031826;0.916715;0.198473;0.715453;0.742937;0.269469;0.686855;0.607650;0.492289;0.083048;0.234858;0.014441;0.092291;0.075304;0.596716;0.116077;0.598901;0.350424;1.000000
2015-01-01T17:00:00Z;0.030748;0.521120;0.470332;0.379801;0.128139;0.764648;0.531403;0.288204;0.285413;0.453439;0.359193;0.032035;0.936246;0.183934;0.705873;0.743873;0.304905;0.714896;0.640787;0.512533;0.104514;0.273583;0.008832;0.100495;0.075703;0.606067;0.160415;0.565605;0.363565;0.993623
2015-01-01T18:00:00Z;0.034922;0.560791;0.467042;0.383321;0.158971;0.779103;0.488584;0.285012;0.312510;0.469735;0.317273;0.041623;0.939068;0.209276;0.708252;0.705700;0.399574;0.704502;0.525586;0.531161;0.105869;0.305670;0.008985;0.085270;0.077518;0.601368;0.174984;0.582055;0.239180;0.962334
2015-01-01T19:00:00Z;0.027104;0.632985;0.503149;0.342007;0.199380;0.789354;0.450442;0.283429;0.331519;0.538990;0.324427;0.044366;0.930823;0.196262;0.702454;0.691862;0.393720;0.783544;0.483382;0.563284;0.105616;0.323371;0.008544;0.084587;0.079764;0.624633;0.176911;0.598235;0.276033;0.910172
2015-01-01T20:00:00Z;0.026545;0.679163;0.509367;0.291246;0.231607;0.797930;0.483427;0.260270;0.342696;0.579249;0.324786;0.048381;0.904832;0.172070;0.646284;0.694950;0.421479;0.809705;0.372224;0.599480;0.106021;0.330319;0.009445;0.090142;0.085898;0.639171;0.179489;0.622933;0.255438;0.812127
2015-01-01T21:00:00Z;0.022737;0.692396;0.523352;0.251927;0.261023;0.801657;0.446064;0.245501;0.353766;0.604627;0.318456;0.042616;0.891858;0.166733;0.643953;0.709972;0.454390;0.810224;0.358212;0.629792;0.106718;0.334973;0.009138;0.081248;0.088790;0.638926;0.175767;0.667153;0.239514;0.754271
2015-01-01T22:00:00Z;0.020016;0.698084;0.538233;0.221830;0.295144;0.809840;0.415255;0.234501;0.361773;0.620234;0.314657;0.042270;0.852366;0.154058;0.669863;0.719115;0.488191;0.809258;0.354085;0.659210;0.103691;0.342251;0.008683;0.074242;0.090926;0.670192;0.191949;0.686925;0.233532;0.689880
2015-01-01T23:00:00Z;0.017655;0.703081;0.554571;0.196064;0.320552;0.816552;0.397533;0.234956;0.374665;0.634811;0.310527;0.049660;0.793660;0.139236;0.695516;0.723996;0.518628;0.808814;0.330788;0.683433;0.098357;0.348480;0.009598;0.067127;0.091720;0.699082;0.222718;0.688386;0.246973;0.643650
2015-01-02T00:00:00Z;0.029849;0.694968;0.509234;0.115153;0.316632;0.798455;0.366367;0.314303;0.380603;0.615749;0.240253;0.090570;0.850568;0.134927;0.624638;0.624792;0.541546;0.807024;0.293025;0.618200;0.081393;0.310388;0.034281;0.061603;0.097302;0.693458;0.278190;0.678730;0.529807;0.650254
2015-01-02T01:00:00Z;0.047931;0.704135;0.467405;0.130953;0.369681;0.741275;0.369871;0.301726;0.414382;0.647824;0.228661;0.113675;0.721094;0.130139;0.678082;0.639905;0.559090;0.816252;0.314839;0.679379;0.094256;0.283840;0.045739;0.067700;0.098231;0.700720;0.298098;0.680307;0.490235;0.577608
2015-01-02T02:00:00Z;0.068812;0.705763;0.425469;0.145096;0.411305;0.750522;0.435667;0.306080;0.438196;0.663415;0.231588;0.146623;0.638367;0.128595;0.742151;0.710629;0.570108;0.822788;0.337039;0.728041;0.102803;0.255431;0.050988;0.074858;0.099213;0.709207;0.316754;0.662561;0.486014;0.529727
2015-01-02T03:00:00Z;0.053389;0.714849;0.416528;0.136614;0.444585;0.810588;0.484423;0.309375;0.444922;0.679433;0.212967;0.133542;0.605314;0.127160;0.785279;0.768388;0.666986;0.828136;0.371424;0.776291;0.108529;0.258961;0.042303;0.058972;0.095904;0.680936;0.315091;0.638143;0.439239;0.479843
2015-01-02T04:00:00Z;0.042922;0.706344;0.433835;0.126679;0.475034;0.824694;0.559473;0.317049;0.452635;0.694186;0.199788;0.123044;0.563118;0.127989;0.796169;0.811889;0.759935;0.834554;0.459983;0.813319;0.114590;0.274712;0.039965;0.048421;0.093156;0.663609;0.318158;0.606446;0.390524;0.435127
2015-01-02T05:00:00Z;0.038377;0.699530;0.459627;0.110880;0.501604;0.824882;0.617618;0.306620;0.455718;0.710966;0.191636;0.105269;0.521483;0.128613;0.797735;0.850547;0.835972;0.814576;0.532398;0.843299;0.120985;0.292140;0.042303;0.040177;0.088314;0.641886;0.329230;0.572999;0.345944;0.404720
2015-01-02T06:00:00Z;0.057541;0.694075;0.501497;0.102615;0.548921;0.822918;0.658475;0.342013;0.464782;0.713629;0.219034;0.084846;0.539395;0.132631;0.797779;0.866389;0.846987;0.695998;0.593271;0.865999;0.125574;0.336213;0.074415;0.050226;0.104422;0.687526;0.427670;0.556465;0.405823;0.356426
2015-01-02T07:00:00Z;0.074402;0.635152;0.487837;0.069250;0.584813;0.818096;0.704957;0.386630;0.442528;0.731052;0.214707;0.089573;0.438252;0.132048;0.797241;0.858230;0.823366;0.676849;0.598193;0.887227;0.136901;0.361092;0.097736;0.035790;0.102981;0.710715;0.396768;0.574691;0.390962;0.342085
2015-01-02T08:00:00Z;0.082732;0.507100;0.514498;0.041966;0.595280;0.813232;0.728067;0.439990;0.403418;0.734224;0.222829;0.103051;0.379208;0.127581;0.795584;0.861877;0.806067;0.660163;0.629429;0.902130;0.131151;0.368384;0.078632;0.020131;0.098923;0.728236;0.383996;0.584415;0.310822;0.320511
2015-01-02T09:00:00Z;0.083237;0.376948;0.483002;0.021470;0.602443;0.810577;0.731807;0.423970;0.352876;0.724053;0.208505;0.104620;0.324439;0.126851;0.786087;0.855068;0.743702;0.645627;0.633215;0.902124;0.095193;0.369242;0.083731;0.011838;0.085400;0.741896;0.338066;0.596857;0.251744;0.258486
2015-01-02T10:00:00Z;0.082753;0.303377;0.448684;0.010322;0.614577;0.812927;0.739173;0.411872;0.333614;0.712823;0.193030;0.103931;0.313314;0.128256;0.780287;0.862072;0.684988;0.644968;0.644399;0.893162;0.064346;0.375308;0.076483;0.007457;0.075730;0.785159;0.350963;0.617368;0.209748;0.206397
2015-01-02T11:00:00Z;0.083135;0.279991;0.400039;0.007582;0.625908;0.812180;0.742127;0.422125;0.310657;0.692156;0.177262;0.094604;0.327566;0.135535;0.786246;0.860639;0.601334;0.659345;0.673465;0.893920;0.045920;0.380361;0.084479;0.006737;0.069568;0.826160;0.323306;0.623632;0.176916;0.158847
2015-01-02T12:00:00Z;0.107117;0.246609;0.364933;0.020113;0.589883;0.810475;0.729702;0.432398;0.267874;0.621797;0.102717;0.112479;0.498006;0.175421;0.771258;0.797145;0.707449;0.521448;0.654904;0.837891;0.045949;0.398144;0.160797;0.010262;0.059824;0.837814;0.324474;0.587939;0.322908;0.135568
2015-01-02T13:00:00Z;0.109188;0.221979;0.325610;0.018648;0.614858;0.801695;0.736464;0.454805;0.235140;0.646737;0.115723;0.093297;0.411705;0.182929;0.784887;0.780684;0.592637;0.601473;0.669782;0.851894;0.039321;0.381591;0.260414;0.008764;0.056893;0.844769;0.393105;0.551307;0.148527;0.171725
2015-01-02T14:00:00Z;0.131945;0.231592;0.313000;0.018377;0.618182;0.799273;0.721066;0.444756;0.196066;0.623366;0.116560;0.102084;0.329962;0.148096;0.778861;0.819451;0.466300;0.633309;0.702108;0.861220;0.031188;0.360424;0.261732;0.007646;0.050520;0.864852;0.415618;0.447881;0.067393;0.194510
2015-01-02T15:00:00Z;0.179254;0.233856;0.356756;0.019377;0.614720;0.793385;0.666107;0.439892;0.160263;0.615346;0.117066;0.113528;0.297327;0.143140;0.783050;0.860098;0.413462;0.621359;0.704946;0.885339;0.037567;0.377121;0.165077;0.007270;0.048385;0.868304;0.382958;0.400822;0.059766;0.210360
2015-01-02T16:00:00Z;0.284456;0.229299;0.378882;0.021422;0.616828;0.791566;0.629520;0.431029;0.131449;0.614356;0.121384;0.124411;0.296471;0.148743;0.784077;0.871435;0.354711;0.612616;0.707276;0.889256;0.062981;0.394826;0.091356;0.012122;0.049275;0.864004;0.357311;0.407897;0.055466;0.220266
2015-01-02T17:00:00Z;0.429489;0.202716;0.384585;0.023364;0.621276;0.792116;0.605880;0.429497;0.107848;0.620118;0.131270;0.159284;0.298480;0.151972;0.786698;0.877837;0.311407;0.575281;0.695398;0.890975;0.094116;0.422196;0.122959;0.011838;0.052575;0.854338;0.324767;0.438321;0.053117;0.213332
2015-01-02T18:00:00Z;0.536650;0.219058;0.358837;0.023466;0.627548;0.765579;0.600664;0.462109;0.103816;0.599563;0.121089;0.217787;0.345368;0.168580;0.794482;0.907822;0.413305;0.522409;0.615812;0.874889;0.105394;0.447621;0.180509;0.004804;0.061819;0.850368;0.243612;0.480110;0.062347;0.133642
2015-01-02T19:00:00Z;0.715696;0.236689;0.318403;0.020939;0.653312;0.785507;0.583057;0.508930;0.090492;0.621792;0.119297;0.445413;0.324852;0.163743;0.797391;0.924713;0.317859;0.573576;0.576328;0.867238;0.103833;0.468631;0.468587;0.006160;0.068092;0.868230;0.214913;0.489809;0.061805;0.135568
2015-01-02T20:00:00Z;0.724712;0.216400;0.359046;0.009298;0.671591;0.792318;0.584396;0.516818;0.088022;0.623892;0.113410;0.578198;0.277479;0.142267;0.796254;0.896182;0.248284;0.576001;0.585863;0.871087;0.100489;0.485856;0.668936;0.007839;0.074773;0.871764;0.154990;0.491126;0.059790;0.151941
2015-01-02T21:00:00Z;0.672388;0.170012;0.392700;0.002797;0.674855;0.789213;0.600577;0.497003;0.088216;0.631329;0.106846;0.610264;0.261878;0.134029;0.793000;0.877216;0.191698;0.507466;0.630068;0.886408;0.093706;0.493745;0.662184;0.014585;0.075459;0.890644;0.137233;0.493097;0.050451;0.150015
2015-01-02T22:00:00Z;0.652266;0.136329;0.430370;0.002708;0.680931;0.790611;0.614018;0.472320;0.098983;0.628834;0.102922;0.643733;0.254034;0.125377;0.788902;0.857865;0.131674;0.449520;0.656296;0.898695;0.088241;0.503536;0.637465;0.022890;0.080214;0.905060;0.116503;0.502078;0.047409;0.156865
2015-01-02T23:00:00Z;0.645116;0.117371;0.473980;0.004384;0.684717;0.788776;0.631412;0.440713;0.121663;0.616458;0.102174;0.668401;0.254941;0.121556;0.787782;0.850969;0.110750;0.403515;0.659263;0.908929;0.084045;0.496902;0.598114;0.034757;0.086283;0.918685;0.104167;0.499924;0.044796;0.155875
2015-01-03T00:00:00Z;0.481639;0.152378;0.443134;0.009380;0.673460;0.775336;0.648952;0.476925;0.125193;0.562205;0.121637;0.492861;0.203853;0.149678;0.796331;0.848993;0.161472;0.349977;0.637126;0.886845;0.079137;0.419818;0.453657;0.028755;0.099543;0.925776;0.139189;0.511343;0.126017;0.174697
2015-01-03T01:00:00Z;0.657400;0.191435;0.440014;0.012159;0.681943;0.784170;0.672492;0.556974;0.150502;0.558080;0.109490;0.589263;0.169464;0.157711;0.797094;0.845809;0.160429;0.417384;0.617111;0.879268;0.078998;0.352897;0.560047;0.032762;0.102088;0.902128;0.148483;0.420636;0.119012;0.187575
2015-01-03T02:00:00Z;0.709793;0.232703;0.437201;0.008346;0.682504;0.757938;0.667163;0.594606;0.174982;0.532724;0.103587;0.610615;0.143745;0.165056;0.796015;0.885096;0.156805;0.477217;0.610757;0.868610;0.076436;0.277058;0.635042;0.048865;0.104120;0.867383;0.202685;0.328282;0.109528;0.216304
2015-01-03T03:00:00Z;0.675485;0.260887;0.431188;0.009901;0.661741;0.740065;0.677359;0.602240;0.203547;0.531982;0.091564;0.603967;0.085073;0.179177;0.793190;0.897492;0.180783;0.464423;0.613321;0.870384;0.074536;0.256767;0.693429;0.069430;0.106531;0.858555;0.206932;0.269486;0.108705;0.243654
2015-01-03T04:00:00Z;0.622563;0.306471;0.401016;0.018527;0.625540;0.711429;0.682894;0.602531;0.245380;0.527149;0.086359;0.612365;0.072532;0.189309;0.791312;0.893559;0.193013;0.472004;0.613616;0.875668;0.069417;0.192559;0.680901;0.092291;0.109722;0.832767;0.233073;0.220669;0.103456;0.288150
2015-01-03T05:00:00Z;0.501700;0.351974;0.363555;0.034258;0.603492;0.679621;0.687846;0.601695;0.288635;0.535699;0.083714;0.590132;0.083983;0.194862;0.790165;0.880546;0.210848;0.474012;0.612489;0.890947;0.063441;0.186821;0.611150;0.113339;0.112921;0.787531;0.255248;0.187159;0.096863;0.340736
2015-01-03T06:00:00Z;0.318765;0.313158;0.417171;0.062983;0.583530;0.612471;0.695468;0.582670;0.319076;0.557320;0.076727;0.421184;0.127374;0.208127;0.795746;0.879097;0.262227;0.443937;0.573994;0.857219;0.068556;0.188595;0.328059;0.146376;0.128809;0.729606;0.301177;0.166660;0.012658;0.476266
2015-01-03T07:00:00Z;0.360999;0.376062;0.396437;0.070282;0.616575;0.578539;0.694837;0.604694;0.374746;0.607375;0.076035;0.455067;0.154962;0.209972;0.794330;0.884051;0.327917;0.507808;0.577865;0.877758;0.064811;0.195296;0.414756;0.168319;0.132245;0.725730;0.294251;0.149861;0.037376;0.608978
2015-01-03T08:00:00Z;0.356927;0.319396;0.369659;0.063167;0.622913;0.560825;0.687788;0.609433;0.429724;0.635238;0.070873;0.453999;0.243823;0.222773;0.795867;0.898722;0.382348;0.538231;0.585936;0.887990;0.056826;0.200290;0.495273;0.156573;0.131626;0.716733;0.280045;0.125136;0.057556;0.630442
2015-01-03T09:00:00Z;0.286048;0.274068;0.433676;0.047354;0.627652;0.554192;0.685296;0.593044;0.478409;0.633588;0.075281;0.361615;0.220478;0.225970;0.796417;0.907515;0.366209;0.454339;0.597265;0.912636;0.038832;0.229185;0.509957;0.133773;0.122476;0.690815;0.301284;0.125622;0.064577;0.640348
2015-01-03T10:00:00Z;0.210887;0.249663;0.451079;0.035304;0.630786;0.556877;0.682449;0.574677;0.516417;0.619405;0.079271;0.278808;0.163810;0.227510;0.794226;0.905401;0.341794;0.388419;0.604311;0.920323;0.022579;0.262856;0.461126;0.112511;0.118722;0.658343;0.367526;0.133124;0.067254;0.684927
2015-01-03T11:00:00Z;0.142427;0.273015;0.488590;0.024910;0.620945;0.567621;0.677921;0.556505;0.543622;0.583472;0.080118;0.221799;0.118240;0.233481;0.790863;0.894964;0.408917;0.305701;0.602913;0.910878;0.014341;0.319759;0.328059;0.090848;0.121217;0.619745;0.473811;0.140662;0.055002;0.755922
