,lon,lat,distance,rho_wind,rho_radiation
1245,-5.1,38.1,1342.91393733978,0.058993360300000325,0.8567875087874094
1246,-5.1,38.7,1282.4951813932357,0.0717217258865779,0.8555347932206154
1247,-5.1,39.3,1222.7037740587327,0.04280909988386249,0.8549125223764472
1248,-5.1,39.9,1163.637585996469,0.035755272976024814,0.8590378920745059
1249,-5.1,40.5,1105.4141082069486,0.1424165836780958,0.8614347918744126
1250,-5.1,41.1,1048.175089529623,0.2010933551240234,0.8622262308096
1251,-5.1,41.7,992.0923311844838,0.22370941235793834,0.8648365827469175
1252,-5.1,42.3,937.3748719121005,0.23571696662862085,0.8676138336095975
1253,-5.1,42.9,884.2777708639087,0.2717211459954472,0.8570053296251872
1254,-5.1,43.5,833.1125784122227,0.16583877325397023,0.8567886570632648
1255,-5.1,44.1,784.259290247602,0.2537645551901442,0.8696821500494808
1256,-5.1,44.7,738.1789675660909,0.4114709033541907,0.8730368497547167
1257,-5.1,45.3,695.4250849013661,0.47758919941054195,0.8778078495690605
1258,-5.1,45.9,656.6498593891139,0.5068600914436955,0.8780827854587481
1259,-5.1,46.5,622.599372156913,0.52672429742561,0.8791271323071459
1260,-5.1,47.1,594.0889590777076,0.5403909925089748,0.8793722277608769
1261,-5.1,47.7,571.9501685452072,0.543243313209456,0.875615585399665
1262,-5.1,48.3,556.9458708822037,0.5367882038571499,0.8725292164552313
1263,-5.1,48.9,549.6631879484007,0.517847073820258,0.8669624652905259
1264,-5.1,49.5,550.4112486647415,0.4796423715348333,0.8570083587894565
1265,-5.1,50.1,559.1603125296183,0.40780041374458165,0.8427759922054718
1266,-5.1,50.7,575.548024598653,0.39933917999165436,0.8470901255932446
1267,-5.1,51.3,598.9500135283453,0.3603559330215272,0.8412642525586971
1268,-5.1,51.9,628.5855258309018,0.3215565224286814,0.840508305207153
1269,-5.1,52.5,663.6220163977956,0.28630581279244227,0.8443260200459296
1270,-5.1,53.1,703.2546249035893,0.2493161989585621,0.8417295669557786
1271,-5.1,53.7,746.7537055069805,0.24147066430890402,0.8346971669546457
1272,-5.1,54.3,793.4852964787012,0.22668577852172495,0.8255756763484321
1273,-5.1,54.9,842.9134856560763,0.21887211499397244,0.8228197070431273
1274,-5.1,55.5,894.5928529493505,0.20785625536559257,0.8143936145443008
1275,-5.1,56.1,948.1567165106609,0.16478959992496942,0.8079812455960133
