nm,QE
419.54,0.71333
419.8,0.71352
420.07,0.71372
420.33,0.71391
420.59,0.71409
420.86,0.71429
421.12,0.71448
421.38,0.71467
421.64,0.71486
421.91,0.71505
422.17,0.71524
422.43,0.71543
422.7,0.71562
422.96,0.71581
423.22,0.716
423.48,0.71619
423.75,0.71639
424.01,0.71657
424.27,0.71676
424.54,0.71696
424.8,0.71715
425.06,0.71734
425.32,0.71752
425.59,0.71772
425.85,0.71791
426.11,0.7181
426.38,0.71829
426.64,0.71848
426.9,0.71867
427.16,0.71886
427.43,0.71905
427.69,0.71924
427.95,0.71943
428.21,0.71962
428.48,0.71981
428.74,0.72
429,0.72024
429.26,0.72048
429.53,0.72072
429.79,0.72096
430.05,0.72119
430.32,0.72144
430.58,0.72167
430.84,0.72191
431.1,0.72214
431.37,0.72239
431.63,0.72262
431.89,0.72286
432.15,0.72309
432.42,0.72334
432.68,0.72357
432.94,0.72381
433.2,0.72405
433.47,0.72429
433.73,0.72453
433.99,0.72476
434.25,0.725
434.52,0.72524
434.78,0.72548
435.04,0.72571
435.3,0.72595
435.57,0.72619
435.83,0.72643
436.09,0.72666
436.35,0.7269
436.62,0.72715
436.88,0.72738
437.14,0.72762
437.4,0.72785
437.67,0.7281
437.93,0.72833
438.19,0.72874
438.45,0.72914
438.72,0.72956
438.98,0.72996
439.24,0.73037
439.5,0.73077
439.76,0.73117
440.03,0.73159
440.29,0.732
440.55,0.7324
440.81,0.73281
441.08,0.73323
441.34,0.73363
441.6,0.73403
441.86,0.73444
442.13,0.73486
442.39,0.73526
442.65,0.73566
442.91,0.73607
443.17,0.73647
443.44,0.73689
443.7,0.7373
443.96,0.7377
444.22,0.7381
444.49,0.73852
444.75,0.73893
445.01,0.73933
445.27,0.73973
445.53,0.74014
445.8,0.74056
446.06,0.74096
446.32,0.74137
446.58,0.74177
446.84,0.74217
447.11,0.74259
447.37,0.743
447.63,0.7434
447.89,0.74381
448.16,0.74422
448.42,0.74463
448.68,0.74504
448.94,0.74548
449.2,0.74592
449.47,0.74639
449.73,0.74683
449.99,0.74727
450.25,0.74772
450.51,0.74816
450.78,0.74862
451.04,0.74907
451.3,0.74951
451.56,0.74996
451.82,0.7504
452.09,0.75086
452.35,0.75131
452.61,0.75175
452.87,0.7522
453.13,0.75264
453.39,0.75308
453.66,0.75355
453.92,0.75399
454.18,0.75443
454.44,0.75488
454.7,0.75532
454.97,0.75578
455.23,0.75623
455.49,0.75667
455.75,0.75712
456.01,0.75756
456.28,0.75802
456.54,0.75847
456.8,0.75891
457.06,0.75936
457.32,0.7598
457.58,0.76025
457.85,0.76071
458.11,0.76115
458.37,0.7616
458.63,0.76204
458.89,0.76248
459.15,0.76293
459.42,0.76339
459.68,0.76386
459.94,0.76434
