wavelength (nm),Xe arc lamp (W*m-2*nm-1)
363.35486,0.09116
363.57001,0.09232
363.78522,0.09332
364.0004,0.0942
364.21561,0.09492
364.43085,0.09552
364.64609,0.09604
364.86133,0.0964
365.07663,0.09652
365.2919,0.0966
365.5072,0.09656
365.72253,0.09632
365.93787,0.09568
366.15323,0.09444
366.36859,0.09288
366.58398,0.09132
366.79938,0.08984
367.0148,0.0884
367.23022,0.08716
367.44568,0.08612
367.66113,0.08524
367.87662,0.08448
368.0921,0.08376
368.30762,0.08316
368.52313,0.08264
368.73868,0.08208
368.95422,0.08148
369.1698,0.08104
369.38541,0.08068
369.60098,0.08036
369.81662,0.07996
370.03226,0.07964
370.24789,0.07928
370.46356,0.07896
370.67923,0.07872
370.89493,0.07856
371.11066,0.07848
371.32639,0.07848
371.54211,0.07852
371.75787,0.0786
371.97363,0.07868
372.18942,0.07884
372.40524,0.07904
372.62106,0.07936
372.83688,0.07972
373.05273,0.08004
373.26862,0.08044
373.4845,0.0808
373.70038,0.08116
373.91629,0.08164
374.13223,0.08224
374.34818,0.08292
374.56412,0.08368
374.78009,0.08456
374.99609,0.08552
375.2121,0.08652
375.42813,0.08752
375.64416,0.08876
375.8602,0.09024
376.07626,0.0922
376.29236,0.09456
376.50845,0.09708
376.72458,0.09992
376.9407,0.10264
377.15683,0.10584
377.37299,0.10904
377.58917,0.1128
377.80536,0.11664
378.02158,0.1208
378.23779,0.12516
378.45404,0.13016
378.67029,0.13504
378.88654,0.14016
379.10281,0.14516
379.31912,0.15064
379.53543,0.156
379.75177,0.162
379.96811,0.1678
380.18448,0.174
380.40085,0.1794
380.61725,0.18472
380.83365,0.1898
381.05008,0.1954
381.26651,0.20056
381.48294,0.20592
381.69943,0.21112
381.91589,0.21664
382.13239,0.22168
382.34891,0.22696
382.56543,0.2316
382.78198,0.23612
382.99854,0.24052
383.21512,0.24508
383.4317,0.24936
383.64832,0.25336
383.86493,0.25696
384.08157,0.26032
384.29822,0.2632
384.51489,0.266
384.73157,0.26916
384.94827,0.27228
385.16498,0.2752
385.38171,0.27752
385.59845,0.27988
385.81522,0.28184
386.03198,0.28364
386.24878,0.28508
386.46558,0.28632
386.6824,0.28724
386.89923,0.28812
387.11606,0.28928
387.33295,0.28988
387.5498,0.29008
387.76672,0.29044
387.98361,0.29116
388.20056,0.29164
388.41748,0.29188
388.63446,0.2918
388.85141,0.2914
389.06839,0.29048
389.2854,0.28964
389.50241,0.28872
389.71945,0.28876
389.93649,0.28848
390.15356,0.28772
390.37064,0.28696
390.58774,0.2858
390.80484,0.28476
391.02197,0.28432
391.23911,0.28432
391.45627,0.28348
391.67343,0.2832
391.89063,0.28304
392.10782,0.28224
392.32501,0.28176
392.54227,0.28144
392.75949,0.28168
392.97675,0.28316
393.19403,0.28452
393.41132,0.28548
393.62863,0.28648
393.84595,0.28724
394.06329,0.28716
394.28064,0.2874
394.49802,0.28872
394.71539,0.29028
394.93277,0.29212
395.15018,0.29384
395.36761,0.29472
395.58505,0.2946
395.80252,0.29496
396.01999,0.29516
396.23749,0.29536
396.45499,0.29608
396.67249,0.29608
396.89001,0.29652
397.10757,0.29544
397.32513,0.29476
397.54272,0.2938
397.76031,0.29368
397.97791,0.29348
398.19553,0.2944
398.41318,0.29412
398.63083,0.29472
398.84848,0.2946
399.06616,0.29532
399.28387,0.2956
399.50159,0.29724
399.7193,0.29888
399.93704,0.3016
400.15482,0.30344
400.37259,0.30604
400.59036,0.30836
400.80817,0.31188
401.026,0.31548
401.24384,0.31928
401.46167,0.32372
401.67953,0.32788
401.89743,0.33192
402.1153,0.33624
402.33322,0.33988
402.55115,0.34316
402.76907,0.34708
402.98703,0.351
403.20499,0.35472
403.42297,0.35844
