wavelength (nm),W halogen lamp (W*m-2*nm-1)
707,0.889215539
708,0.892112029
709,0.891784679
710,0.894744595
711,0.895653283
712,0.896441949
713,0.898430871
714,0.899156067
715,0.901643499
716,0.902970555
717,0.904973606
718,0.903722164
719,0.905439689
720,0.910494655
721,0.909683701
722,0.910463463
723,0.911141169
724,0.914616197
725,0.91110235
726,0.91772475
727,0.91769271
728,0.919399781
729,0.919239237
730,0.9192
731,0.923393235
732,0.924108548
733,0.923259771
734,0.925264108
735,0.926657966
736,0.926602497
737,0.927385348
738,0.931357595
739,0.93002867
740,0.934568577
741,0.931018793
742,0.933528485
743,0.935068975
744,0.936606605
745,0.938341276
746,0.935707636
747,0.939050445
748,0.941979328
749,0.942378705
750,0.943726471
751,0.943513395
752,0.946492595
753,0.945764965
754,0.946973862
755,0.948774742
756,0.946992086
757,0.946611099
758,0.94936355
759,0.949935293
760,0.951690438
761,0.952251184
762,0.95205635
763,0.956475385
764,0.956186883
765,0.956842209
766,0.95812349
767,0.955871489
768,0.958780448
769,0.961618648
770,0.960019578
771,0.960984462
772,0.96008967
773,0.963689986
774,0.962070753
775,0.963673693
776,0.960194023
777,0.96603964
778,0.964832914
779,0.968208771
780,0.964854056
781,0.966236268
782,0.969181146
783,0.970312432
784,0.968126278
785,0.970227358
786,0.971797705
787,0.97248676
788,0.972739407
789,0.973686956
790,0.971390035
791,0.97480924
792,0.976298035
793,0.974662218
794,0.975050423
795,0.976247465
796,0.974298704
797,0.978540673
798,0.978919642
799,0.977588182
800,0.977249789
801,0.980012844
802,0.978461187
803,0.980382942
804,0.981007302
805,0.981147949
806,0.983187965
807,0.984457193
808,0.98300159
809,0.982806838
810,0.982171365
811,0.985608153
812,0.982708316
813,0.985027906
814,0.984804185
815,0.987054456
816,0.984719684
817,0.985087076
818,0.990402903
819,0.988919138
820,0.987931471
821,0.989513678
822,0.988849652
823,0.99049809
824,0.989554016
825,0.989795263
826,0.990023748
827,0.990870106
828,0.990518318
829,0.992698591
830,0.991954591
831,0.991651484
832,0.992652944
833,0.991462196
834,0.992382694
835,0.992361427
836,0.992445225
837,0.989900138
