time(UTC+1),Gb(n)
00:00,0
01:00,0
02:00,0
03:00,0
04:00,0
05:00,0
06:00,0
07:00,363.09
08:00,519.4
09:00,611.52
10:00,655.79
11:00,694.34
12:00,691.38
13:00,685.8
14:00,658.15
15:00,633.8
16:00,605.44
17:00,557.31
18:00,476.78
19:00,354.18
20:00,155.56
21:00,0
22:00,0
23:00,0
