Day,Hours,Elspot Prices DK1 (EUR/MWh),Household Demand (kWh),Capacity factor solar
01/01/2019,00 - 01,28.39,0.18,0
01/01/2019,01 - 02,10.09,0.17,0
01/01/2019,02 - 03,-4.09,0.2,0
01/01/2019,03 - 04,-9.93,0.17,0
01/01/2019,04 - 05,-7.43,0.18,0
01/01/2019,05 - 06,-12.58,0.17,0
01/01/2019,06 - 07,-17.29,0.19,0
01/01/2019,07 - 08,-15.11,0.17,0
01/01/2019,08 - 09,-4.94,0.17,0
01/01/2019,09 - 10,-6.34,0.18,0.016
01/01/2019,10 - 11,-4.94,0.17,0.015
01/01/2019,11 - 12,0.45,0.2,0.059
01/01/2019,12 - 13,0.12,0.17,0.022
01/01/2019,13 - 14,-0.02,0.19,0.022
01/01/2019,14 - 15,0,0.28,0.009
01/01/2019,15 - 16,-0.03,0.19,0
01/01/2019,16 - 17,1.97,0.33,0
01/01/2019,17 - 18,9.08,0.53,0
01/01/2019,18 - 19,0.07,0.45,0
01/01/2019,19 - 20,-4.98,0.57,0
01/01/2019,20 - 21,-7,0.52,0
01/01/2019,21 - 22,-16.05,0.69,0
01/01/2019,22 - 23,-4.88,0.49,0
01/01/2019,23 - 00,-29,0.32,0
02/01/2019,00 - 01,-33.64,0.19,0
02/01/2019,01 - 02,-46.02,0.19,0
02/01/2019,02 - 03,-48.4,0.2,0
02/01/2019,03 - 04,-33.68,0.21,0
02/01/2019,04 - 05,-33.61,0.19,0
02/01/2019,05 - 06,-17.83,0.2,0
02/01/2019,06 - 07,-0.01,0.19,0
02/01/2019,07 - 08,37.51,0.2,0
02/01/2019,08 - 09,48.17,0.53,0
02/01/2019,09 - 10,50.85,0.49,0.069
02/01/2019,10 - 11,48.22,0.57,0
02/01/2019,11 - 12,48.77,1.1,0
02/01/2019,12 - 13,50.05,0.34,0
02/01/2019,13 - 14,47.37,0.98,0
02/01/2019,14 - 15,49.75,1.1,0
02/01/2019,15 - 16,53.79,0.44,0
02/01/2019,16 - 17,56.13,0.64,0
02/01/2019,17 - 18,57.08,1.35,0
02/01/2019,18 - 19,55.51,1.66,0
02/01/2019,19 - 20,55.02,1.07,0
02/01/2019,20 - 21,53.98,0.6,0
02/01/2019,21 - 22,52.83,0.99,0
02/01/2019,22 - 23,52.21,0.52,0
02/01/2019,23 - 00,50.87,0.31,0
03/01/2019,00 - 01,43,0.15,0
03/01/2019,01 - 02,45.31,0.15,0
03/01/2019,02 - 03,48.41,0.15,0
03/01/2019,03 - 04,48.5,0.14,0
03/01/2019,04 - 05,48.89,0.14,0
03/01/2019,05 - 06,46.02,0.14,0
03/01/2019,06 - 07,51.18,0.15,0
03/01/2019,07 - 08,52.88,0.14,0
03/01/2019,08 - 09,63.02,0.13,0
03/01/2019,09 - 10,60.16,0.61,0
03/01/2019,10 - 11,58.31,1.11,0
03/01/2019,11 - 12,61.6,0.58,0
03/01/2019,12 - 13,62.13,0.32,0
03/01/2019,13 - 14,63.25,0.25,0
03/01/2019,14 - 15,63.8,0.13,0
03/01/2019,15 - 16,66.27,0.14,0
03/01/2019,16 - 17,68.55,0.16,0
03/01/2019,17 - 18,69.7,0.43,0
03/01/2019,18 - 19,65.81,1.22,0
03/01/2019,19 - 20,61.64,0.45,0
03/01/2019,20 - 21,56.16,0.42,0
03/01/2019,21 - 22,54.55,0.42,0
03/01/2019,22 - 23,52.2,0.5,0
03/01/2019,23 - 00,50.08,0.41,0
04/01/2019,00 - 01,49.98,0.19,0
04/01/2019,01 - 02,47.22,0.15,0
04/01/2019,02 - 03,47.18,0.15,0
04/01/2019,03 - 04,47.05,0.15,0
04/01/2019,04 - 05,47.11,0.15,0
04/01/2019,05 - 06,47.02,0.14,0
04/01/2019,06 - 07,49.7,0.15,0
04/01/2019,07 - 08,55.4,0.17,0
04/01/2019,08 - 09,54.57,0.59,0
04/01/2019,09 - 10,54.3,0.5,0.034
04/01/2019,10 - 11,54.02,0.18,0.024
04/01/2019,11 - 12,53.13,0.16,0.002
04/01/2019,12 - 13,51.86,0.33,0
04/01/2019,13 - 14,51.72,0.21,0
04/01/2019,14 - 15,51.53,0.16,0
04/01/2019,15 - 16,51.81,0.14,0
04/01/2019,16 - 17,52.71,0.12,0
04/01/2019,17 - 18,53.46,0.13,0
04/01/2019,18 - 19,52.93,1.61,0
04/01/2019,19 - 20,52.01,0.58,0
04/01/2019,20 - 21,46.69,0.78,0
04/01/2019,21 - 22,45.53,0.87,0
04/01/2019,22 - 23,44.06,0.63,0
04/01/2019,23 - 00,31.48,0.15,0
05/01/2019,00 - 01,26.96,0.12,0
05/01/2019,01 - 02,25.18,0.11,0
05/01/2019,02 - 03,24.18,0.12,0
05/01/2019,03 - 04,22.09,0.11,0
05/01/2019,04 - 05,18.41,0.1,0
05/01/2019,05 - 06,22.14,0.12,0
05/01/2019,06 - 07,23.41,0.11,0
05/01/2019,07 - 08,47.15,0.12,0
05/01/2019,08 - 09,50.11,0.4,0
05/01/2019,09 - 10,50.85,0.43,0
05/01/2019,10 - 11,51.05,0.69,0
05/01/2019,11 - 12,51.14,1.41,0
05/01/2019,12 - 13,51.48,0.34,0
05/01/2019,13 - 14,51.86,1.24,0.016
05/01/2019,14 - 15,52.04,0.63,0
05/01/2019,15 - 16,53.35,0.26,0
05/01/2019,16 - 17,55.39,0.31,0
05/01/2019,17 - 18,56,0.47,0
05/01/2019,18 - 19,55.39,2.22,0
05/01/2019,19 - 20,53.93,0.53,0
05/01/2019,20 - 21,52.88,0.92,0
05/01/2019,21 - 22,52.02,0.56,0
05/01/2019,22 - 23,51.5,0.9,0
05/01/2019,23 - 00,50.08,0.12,0
06/01/2019,00 - 01,50.41,0.11,0
06/01/2019,01 - 02,47.83,0.12,0
06/01/2019,02 - 03,48.92,0.11,0
06/01/2019,03 - 04,48.77,0.11,0
06/01/2019,04 - 05,47.93,0.1,0
06/01/2019,05 - 06,48.83,0.11,0
06/01/2019,06 - 07,48.3,0.11,0
06/01/2019,07 - 08,49.22,0.09,0
06/01/2019,08 - 09,50.56,0.26,0
06/01/2019,09 - 10,53.52,1.73,0
06/01/2019,10 - 11,52.47,0.5,0.059
06/01/2019,11 - 12,52.89,0.35,0
06/01/2019,12 - 13,52.98,0.38,0
06/01/2019,13 - 14,52.56,0.49,0
06/01/2019,14 - 15,51.64,0.43,0
06/01/2019,15 - 16,51.69,0.37,0
06/01/2019,16 - 17,53.4,0.46,0
06/01/2019,17 - 18,55.38,0.4,0
06/01/2019,18 - 19,54.37,2.4,0
06/01/2019,19 - 20,53.02,0.79,0
06/01/2019,20 - 21,52.07,0.71,0
06/01/2019,21 - 22,51.69,0.53,0
06/01/2019,22 - 23,50.83,0.42,0
06/01/2019,23 - 00,50.34,0.34,0
07/01/2019,00 - 01,46.14,0.17,0
07/01/2019,01 - 02,48.09,0.16,0
07/01/2019,02 - 03,47.95,0.17,0
07/01/2019,03 - 04,46.21,0.17,0
07/01/2019,04 - 05,46.19,0.16,0
07/01/2019,05 - 06,47.73,0.16,0
07/01/2019,06 - 07,55.9,0.17,0
07/01/2019,07 - 08,59.8,0.17,0
07/01/2019,08 - 09,58.07,0.52,0
07/01/2019,09 - 10,57.03,0.53,0.009
07/01/2019,10 - 11,56.41,0.52,0
07/01/2019,11 - 12,55.69,0.52,0
07/01/2019,12 - 13,55.27,0.56,0
07/01/2019,13 - 14,54.28,0.78,0
07/01/2019,14 - 15,53.85,0.36,0.089
07/01/2019,15 - 16,53.37,0.99,0
07/01/2019,16 - 17,53.38,0.21,0
07/01/2019,17 - 18,53.54,0.51,0
07/01/2019,18 - 19,50.3,1.59,0
07/01/2019,19 - 20,45.18,0.58,0
07/01/2019,20 - 21,41.05,0.54,0
07/01/2019,21 - 22,37.49,0.48,0
07/01/2019,22 - 23,21.2,0.31,0
07/01/2019,23 - 00,14.41,0.12,0
08/01/2019,00 - 01,17.98,0.12,0
08/01/2019,01 - 02,20.96,0.12,0
08/01/2019,02 - 03,7.8,0.1,0
08/01/2019,03 - 04,14.36,0.13,0
08/01/2019,04 - 05,18.6,0.1,0
08/01/2019,05 - 06,18.61,0.11,0
08/01/2019,06 - 07,35.89,0.1,0
08/01/2019,07 - 08,43.97,0.15,0
08/01/2019,08 - 09,47.04,0.41,0
08/01/2019,09 - 10,43.98,0.37,0
08/01/2019,10 - 11,43.95,0.29,0
08/01/2019,11 - 12,46.85,0.34,0
08/01/2019,12 - 13,44.04,0.24,0
08/01/2019,13 - 14,43.31,0.17,0
08/01/2019,14 - 15,43.91,0.33,0.001
08/01/2019,15 - 16,45.7,0.37,0
08/01/2019,16 - 17,35.29,0.29,0
08/01/2019,17 - 18,45.74,0.63,0
08/01/2019,18 - 19,45.74,0.58,0
08/01/2019,19 - 20,38.03,0.53,0
08/01/2019,20 - 21,39.62,0.51,0
08/01/2019,21 - 22,36.05,0.62,0
08/01/2019,22 - 23,29.79,0.48,0
08/01/2019,23 - 00,22.6,0.3,0
09/01/2019,00 - 01,20.08,0.1,0
09/01/2019,01 - 02,7.26,0.11,0
09/01/2019,02 - 03,3.44,0.12,0
09/01/2019,03 - 04,10.06,0.11,0
09/01/2019,04 - 05,14.23,0.1,0
09/01/2019,05 - 06,25.47,0.12,0
09/01/2019,06 - 07,37.06,0.1,0
09/01/2019,07 - 08,43.99,0.12,0
09/01/2019,08 - 09,51.09,1.61,0
09/01/2019,09 - 10,50.41,0.38,0.001
09/01/2019,10 - 11,50.32,1.2,0.009
09/01/2019,11 - 12,45.9,0.9,0.006
09/01/2019,12 - 13,43.73,0.78,0.005
09/01/2019,13 - 14,43.59,0.11,0.003
09/01/2019,14 - 15,45.15,0.1,0
09/01/2019,15 - 16,50.06,0.11,0
09/01/2019,16 - 17,53.94,0.18,0
09/01/2019,17 - 18,56.06,0.63,0
09/01/2019,18 - 19,54.31,1.04,0
09/01/2019,19 - 20,54.31,0.55,0
09/01/2019,20 - 21,53.1,0.54,0
09/01/2019,21 - 22,51.79,0.47,0
09/01/2019,22 - 23,51.07,0.42,0
09/01/2019,23 - 00,50.07,0.22,0
10/01/2019,00 - 01,50.62,0.11,0
10/01/2019,01 - 02,50.09,0.12,0
10/01/2019,02 - 03,49.66,0.1,0
10/01/2019,03 - 04,50.09,0.12,0
10/01/2019,04 - 05,50.05,0.1,0
10/01/2019,05 - 06,49.91,0.12,0
10/01/2019,06 - 07,57.09,0.1,0
10/01/2019,07 - 08,72.76,0.54,0
10/01/2019,08 - 09,79.4,0.49,0
10/01/2019,09 - 10,79.34,0.28,0.004
10/01/2019,10 - 11,78.72,0.44,0.006
10/01/2019,11 - 12,77.61,0.51,0.006
10/01/2019,12 - 13,69.81,0.28,0.006
10/01/2019,13 - 14,63.75,0.21,0.004
10/01/2019,14 - 15,60.07,0.38,0
10/01/2019,15 - 16,59.14,0.74,0
10/01/2019,16 - 17,59.7,0.36,0
10/01/2019,17 - 18,59.34,0.44,0
10/01/2019,18 - 19,56.5,0.51,0
10/01/2019,19 - 20,54.4,0.51,0
10/01/2019,20 - 21,52.89,0.8,0
10/01/2019,21 - 22,52.12,0.66,0
10/01/2019,22 - 23,50.59,0.87,0
10/01/2019,23 - 00,49.55,0.21,0
11/01/2019,00 - 01,47.94,0.14,0
11/01/2019,01 - 02,46.68,0.11,0
11/01/2019,02 - 03,45.83,0.11,0
11/01/2019,03 - 04,43.9,0.11,0
11/01/2019,04 - 05,46.33,0.11,0
11/01/2019,05 - 06,46.55,0.11,0
11/01/2019,06 - 07,51.39,0.11,0
11/01/2019,07 - 08,53.14,0.3,0
11/01/2019,08 - 09,54.36,0.53,0
11/01/2019,09 - 10,53.8,0.3,0.091
11/01/2019,10 - 11,53.74,0.27,0.333
11/01/2019,11 - 12,53.43,0.29,0.063
11/01/2019,12 - 13,52,0.29,0.078
11/01/2019,13 - 14,50.9,0.32,0.015
11/01/2019,14 - 15,45.55,0.16,0
11/01/2019,15 - 16,42.29,0.37,0
11/01/2019,16 - 17,46.02,0.15,0
11/01/2019,17 - 18,51.61,0.16,0
11/01/2019,18 - 19,50.54,0.12,0
11/01/2019,19 - 20,49.74,0.14,0
11/01/2019,20 - 21,49.03,0.12,0
11/01/2019,21 - 22,48.44,0.11,0
11/01/2019,22 - 23,47.64,0.13,0
11/01/2019,23 - 00,45.12,0.11,0
12/01/2019,00 - 01,47.33,0.12,0
12/01/2019,01 - 02,45.96,0.14,0
12/01/2019,02 - 03,44.69,0.11,0
12/01/2019,03 - 04,42.98,0.13,0
12/01/2019,04 - 05,42.11,0.11,0
12/01/2019,05 - 06,42.08,0.12,0
12/01/2019,06 - 07,44.14,0.11,0
12/01/2019,07 - 08,46.48,0.13,0
12/01/2019,08 - 09,48.11,0.11,0
12/01/2019,09 - 10,50,0.13,0.028
12/01/2019,10 - 11,50.39,0.11,0.006
12/01/2019,11 - 12,50.41,0.13,0.043
12/01/2019,12 - 13,50.41,0.11,0.005
12/01/2019,13 - 14,50.04,0.14,0.004
12/01/2019,14 - 15,50.18,0.13,0
12/01/2019,15 - 16,50.91,0.13,0
12/01/2019,16 - 17,51.79,0.11,0
12/01/2019,17 - 18,53.06,0.13,0
12/01/2019,18 - 19,52.43,0.11,0
12/01/2019,19 - 20,51.32,0.13,0
12/01/2019,20 - 21,50.11,0.13,0
12/01/2019,21 - 22,49.32,0.12,0
12/01/2019,22 - 23,48.38,0.13,0
12/01/2019,23 - 00,47.31,0.14,0
13/01/2019,00 - 01,44.09,0.11,0
13/01/2019,01 - 02,44.1,0.12,0
13/01/2019,02 - 03,37.1,0.13,0
13/01/2019,03 - 04,26.59,0.12,0
13/01/2019,04 - 05,23.29,0.12,0
13/01/2019,05 - 06,20.05,0.11,0
13/01/2019,06 - 07,40.14,0.13,0
13/01/2019,07 - 08,45.95,0.11,0
13/01/2019,08 - 09,26.28,0.12,0
13/01/2019,09 - 10,37.23,0.13,0.009
13/01/2019,10 - 11,26.35,0.12,0.055
13/01/2019,11 - 12,30.87,0.13,0.071
13/01/2019,12 - 13,27.11,0.12,0.167
13/01/2019,13 - 14,8.52,0.12,0.082
13/01/2019,14 - 15,34.5,0.33,0.052
13/01/2019,15 - 16,46.68,0.28,0
13/01/2019,16 - 17,47.24,0.13,0
13/01/2019,17 - 18,50.38,0.46,0
13/01/2019,18 - 19,49.17,1.2,0
13/01/2019,19 - 20,46.12,0.53,0
13/01/2019,20 - 21,40.08,1.31,0
13/01/2019,21 - 22,40.3,0.71,0
13/01/2019,22 - 23,3.05,0.45,0
13/01/2019,23 - 00,-7.29,0.1,0
14/01/2019,00 - 01,-3.15,0.11,0
14/01/2019,01 - 02,-12.02,0.11,0
14/01/2019,02 - 03,-15.06,0.09,0
14/01/2019,03 - 04,-11.11,0.12,0
14/01/2019,04 - 05,-4.95,0.1,0
14/01/2019,05 - 06,1.59,0.12,0
14/01/2019,06 - 07,35.97,0.1,0
14/01/2019,07 - 08,51.32,0.23,0
14/01/2019,08 - 09,51.76,0.63,0
14/01/2019,09 - 10,46.18,0.28,0.012
14/01/2019,10 - 11,50.35,0.14,0.009
14/01/2019,11 - 12,44.57,0.11,0.007
14/01/2019,12 - 13,41.32,0.29,0.031
14/01/2019,13 - 14,38.98,2.06,0.401
14/01/2019,14 - 15,41.87,0.84,0.202
14/01/2019,15 - 16,49.72,0.4,0
14/01/2019,16 - 17,51.03,0.65,0
14/01/2019,17 - 18,51.35,0.81,0
14/01/2019,18 - 19,51.03,1.48,0
14/01/2019,19 - 20,50.61,0.49,0
14/01/2019,20 - 21,49.7,0.47,0
14/01/2019,21 - 22,44.38,0.69,0
14/01/2019,22 - 23,41.37,0.38,0
14/01/2019,23 - 00,37.33,0.13,0
15/01/2019,00 - 01,37.74,0.11,0
15/01/2019,01 - 02,36.77,0.11,0
15/01/2019,02 - 03,37.13,0.09,0
15/01/2019,03 - 04,40.71,0.12,0
15/01/2019,04 - 05,44.39,0.1,0
15/01/2019,05 - 06,48.55,0.11,0
15/01/2019,06 - 07,51,0.09,0
15/01/2019,07 - 08,53.83,0.49,0
15/01/2019,08 - 09,57.12,0.4,0
15/01/2019,09 - 10,58.49,0.19,0.032
15/01/2019,10 - 11,56.64,0.26,0.029
15/01/2019,11 - 12,55.1,0.26,0.124
15/01/2019,12 - 13,54.02,0.23,0.036
15/01/2019,13 - 14,53.41,0.18,0.375
15/01/2019,14 - 15,52.72,0.32,0.182
15/01/2019,15 - 16,52.21,0.2,0
15/01/2019,16 - 17,52.37,0.2,0
15/01/2019,17 - 18,54.01,0.38,0
15/01/2019,18 - 19,52.63,0.56,0
15/01/2019,19 - 20,52.86,1.72,0
15/01/2019,20 - 21,52.59,0.53,0
15/01/2019,21 - 22,51.74,0.47,0
15/01/2019,22 - 23,50.49,0.37,0
15/01/2019,23 - 00,48.75,0.27,0
16/01/2019,00 - 01,49.57,0.11,0
16/01/2019,01 - 02,49.1,0.12,0
16/01/2019,02 - 03,49,0.11,0
16/01/2019,03 - 04,49.14,0.12,0
16/01/2019,04 - 05,49.21,0.1,0
16/01/2019,05 - 06,51.15,0.11,0
16/01/2019,06 - 07,52.73,0.11,0
16/01/2019,07 - 08,53.89,0.27,0
16/01/2019,08 - 09,55.83,0.33,0
16/01/2019,09 - 10,53.92,0.26,0.024
16/01/2019,10 - 11,54.31,0.24,0.054
16/01/2019,11 - 12,55.02,0.25,0.015
16/01/2019,12 - 13,53.74,0.24,0.097
16/01/2019,13 - 14,52.78,0.35,0.092
16/01/2019,14 - 15,53.64,0.18,0
16/01/2019,15 - 16,53.81,0.31,0
16/01/2019,16 - 17,54.93,0.24,0
16/01/2019,17 - 18,54.1,0.34,0
16/01/2019,18 - 19,52.76,0.49,0
16/01/2019,19 - 20,52.25,1.16,0
16/01/2019,20 - 21,51.44,0.54,0
16/01/2019,21 - 22,50.18,0.98,0
16/01/2019,22 - 23,46.48,0.43,0
16/01/2019,23 - 00,43.29,0.25,0
17/01/2019,00 - 01,31.5,0.1,0
17/01/2019,01 - 02,30.65,0.12,0
17/01/2019,02 - 03,36.61,0.11,0
17/01/2019,03 - 04,38.9,0.1,0
17/01/2019,04 - 05,47.08,0.11,0
17/01/2019,05 - 06,50.39,0.1,0
17/01/2019,06 - 07,52.84,0.11,0
17/01/2019,07 - 08,54.04,0.83,0
17/01/2019,08 - 09,54.52,1.05,0
17/01/2019,09 - 10,54.84,0.58,0.027
17/01/2019,10 - 11,54.9,0.78,0.086
17/01/2019,11 - 12,54.72,0.42,0.067
17/01/2019,12 - 13,54.53,0.37,0.044
17/01/2019,13 - 14,54.57,0.36,0.088
17/01/2019,14 - 15,55.1,0.47,0.022
17/01/2019,15 - 16,56.01,0.42,0
17/01/2019,16 - 17,57.54,0.37,0
17/01/2019,17 - 18,58.83,1.35,0
17/01/2019,18 - 19,55.16,0.91,0
17/01/2019,19 - 20,53.95,0.54,0
17/01/2019,20 - 21,53.15,0.51,0
17/01/2019,21 - 22,52.85,0.51,0
17/01/2019,22 - 23,51.29,0.4,0
17/01/2019,23 - 00,50.12,0.74,0
18/01/2019,00 - 01,51.26,0.19,0
18/01/2019,01 - 02,50.57,0.66,0
18/01/2019,02 - 03,50.22,0.12,0
18/01/2019,03 - 04,50.25,0.1,0
18/01/2019,04 - 05,50.75,0.11,0
18/01/2019,05 - 06,53.13,0.12,0
18/01/2019,06 - 07,54.88,0.12,0
18/01/2019,07 - 08,72.05,0.44,0
18/01/2019,08 - 09,75.17,0.34,0
18/01/2019,09 - 10,74.22,0.24,0.005
18/01/2019,10 - 11,70.65,0.22,0.063
18/01/2019,11 - 12,69.16,0.2,0.028
18/01/2019,12 - 13,67.42,0.27,0.011
18/01/2019,13 - 14,63.3,0.25,0.048
18/01/2019,14 - 15,60.5,0.2,0.115
18/01/2019,15 - 16,59.5,0.14,0
18/01/2019,16 - 17,66.92,0.89,0
18/01/2019,17 - 18,73.38,0.57,0
18/01/2019,18 - 19,73.85,0.43,0
18/01/2019,19 - 20,60.6,0.51,0
18/01/2019,20 - 21,58.07,0.58,0
18/01/2019,21 - 22,56.44,0.43,0
18/01/2019,22 - 23,55.45,0.38,0
18/01/2019,23 - 00,53.26,0.37,0
19/01/2019,00 - 01,52.57,0.29,0
19/01/2019,01 - 02,53.28,0.27,0
19/01/2019,02 - 03,54.84,0.12,0
19/01/2019,03 - 04,51.25,0.12,0
19/01/2019,04 - 05,52.35,0.11,0
19/01/2019,05 - 06,52.09,0.11,0
19/01/2019,06 - 07,51.82,0.1,0
19/01/2019,07 - 08,50.66,0.38,0
19/01/2019,08 - 09,55.82,0.3,0
19/01/2019,09 - 10,56.73,1.94,0.136
19/01/2019,10 - 11,60.19,0.72,0.12
19/01/2019,11 - 12,57.15,0.47,0.078
19/01/2019,12 - 13,55.37,0.38,0.103
19/01/2019,13 - 14,54.49,0.16,0.126
19/01/2019,14 - 15,52.65,0.18,0.042
19/01/2019,15 - 16,55.52,0.35,0
19/01/2019,16 - 17,60.9,0.3,0
19/01/2019,17 - 18,64.08,0.36,0
19/01/2019,18 - 19,62.84,0.42,0
19/01/2019,19 - 20,57.48,0.44,0
19/01/2019,20 - 21,54.72,0.62,0
19/01/2019,21 - 22,52.42,0.59,0
19/01/2019,22 - 23,52.13,0.54,0
19/01/2019,23 - 00,50.85,0.22,0
20/01/2019,00 - 01,51.1,0.12,0
20/01/2019,01 - 02,49.83,0.12,0
20/01/2019,02 - 03,50.1,0.12,0
20/01/2019,03 - 04,50.21,0.11,0
20/01/2019,04 - 05,50.95,0.11,0
20/01/2019,05 - 06,51.21,0.11,0
20/01/2019,06 - 07,51.1,0.11,0
20/01/2019,07 - 08,51.94,0.11,0
20/01/2019,08 - 09,52.25,0.8,0
20/01/2019,09 - 10,53.79,1.08,0.019
20/01/2019,10 - 11,54.59,0.3,0.012
20/01/2019,11 - 12,54.81,0.77,0.097
20/01/2019,12 - 13,54.28,0.62,0.1
20/01/2019,13 - 14,53.82,0.37,0.147
20/01/2019,14 - 15,53.31,0.14,0.044
20/01/2019,15 - 16,55.5,0.85,0
20/01/2019,16 - 17,58.14,0.83,0
20/01/2019,17 - 18,66.07,0.4,0
20/01/2019,18 - 19,67.91,0.41,0
20/01/2019,19 - 20,63.75,0.42,0
20/01/2019,20 - 21,59.94,0.55,0
20/01/2019,21 - 22,57.49,0.5,0
20/01/2019,22 - 23,59.68,0.56,0
20/01/2019,23 - 00,52.18,0.38,0
21/01/2019,00 - 01,55.65,0.12,0
21/01/2019,01 - 02,53.13,0.11,0
21/01/2019,02 - 03,52.21,0.11,0
21/01/2019,03 - 04,51.41,0.11,0
21/01/2019,04 - 05,51.25,0.11,0
21/01/2019,05 - 06,53.34,0.11,0
21/01/2019,06 - 07,65.46,0.12,0
21/01/2019,07 - 08,77.24,0.11,0
21/01/2019,08 - 09,85.41,0.52,0.011
21/01/2019,09 - 10,83.43,0.42,0.065
21/01/2019,10 - 11,77.64,0.3,0.121
21/01/2019,11 - 12,72.75,0.27,0.089
21/01/2019,12 - 13,68.53,0.25,0.061
21/01/2019,13 - 14,69.41,0.21,0.103
21/01/2019,14 - 15,69.87,0.24,0.038
21/01/2019,15 - 16,74.19,0.25,0
21/01/2019,16 - 17,81.25,0.17,0
21/01/2019,17 - 18,88.53,0.42,0
21/01/2019,18 - 19,88.55,0.66,0
21/01/2019,19 - 20,78.17,0.51,0
21/01/2019,20 - 21,68.94,0.49,0
21/01/2019,21 - 22,61.73,0.5,0
21/01/2019,22 - 23,58.06,0.43,0
21/01/2019,23 - 00,55.04,0.27,0
22/01/2019,00 - 01,54.3,0.11,0
22/01/2019,01 - 02,54.16,0.11,0
22/01/2019,02 - 03,53.63,0.11,0
22/01/2019,03 - 04,52.59,0.11,0
22/01/2019,04 - 05,53.55,0.11,0
22/01/2019,05 - 06,52.14,0.11,0
22/01/2019,06 - 07,62.46,0.11,0
22/01/2019,07 - 08,74.06,0.13,0
22/01/2019,08 - 09,80.4,0.41,0
22/01/2019,09 - 10,76.76,0.78,0.017
22/01/2019,10 - 11,74.34,0.31,0.014
22/01/2019,11 - 12,70.21,0.73,0.033
22/01/2019,12 - 13,62.2,0.23,0.101
22/01/2019,13 - 14,58.57,0.24,0.052
22/01/2019,14 - 15,59.81,0.2,0.002
22/01/2019,15 - 16,65.23,0.17,0
22/01/2019,16 - 17,70.36,0.2,0
22/01/2019,17 - 18,78.96,0.44,0
22/01/2019,18 - 19,71.47,0.44,0
22/01/2019,19 - 20,60.23,0.52,0
22/01/2019,20 - 21,57.06,0.44,0
22/01/2019,21 - 22,55.5,0.47,0
22/01/2019,22 - 23,54.92,1.65,0
22/01/2019,23 - 00,53.41,0.45,0
23/01/2019,00 - 01,53.32,0.4,0
23/01/2019,01 - 02,52.74,0.14,0
23/01/2019,02 - 03,52.26,0.11,0
23/01/2019,03 - 04,51.3,0.11,0
23/01/2019,04 - 05,51.13,0.11,0
23/01/2019,05 - 06,55.17,0.11,0
23/01/2019,06 - 07,60.19,0.12,0
23/01/2019,07 - 08,79.66,0.25,0
23/01/2019,08 - 09,88.58,0.7,0
23/01/2019,09 - 10,84.29,0.2,0.003
23/01/2019,10 - 11,85.54,0.11,0.069
23/01/2019,11 - 12,82.43,0.14,0.012
23/01/2019,12 - 13,76.67,0.17,0.006
23/01/2019,13 - 14,71.13,0.97,0.003
23/01/2019,14 - 15,69,0.82,0.121
23/01/2019,15 - 16,74.75,0.26,0
23/01/2019,16 - 17,82.42,0.18,0
23/01/2019,17 - 18,87.94,0.32,0
23/01/2019,18 - 19,85.22,0.41,0
23/01/2019,19 - 20,62.39,0.57,0
23/01/2019,20 - 21,58.19,0.51,0
23/01/2019,21 - 22,57.68,0.7,0
23/01/2019,22 - 23,56.96,0.68,0
23/01/2019,23 - 00,55.08,0.64,0
24/01/2019,00 - 01,56.1,0.34,0
24/01/2019,01 - 02,55.92,0.1,0
24/01/2019,02 - 03,55.69,0.12,0
24/01/2019,03 - 04,55.45,0.1,0
24/01/2019,04 - 05,55.92,0.11,0
24/01/2019,05 - 06,60.18,0.1,0
24/01/2019,06 - 07,76.15,0.12,0
24/01/2019,07 - 08,96.91,0.47,0
24/01/2019,08 - 09,109.69,0.48,0
24/01/2019,09 - 10,107.91,0.27,0.053
24/01/2019,10 - 11,98.28,0.21,0.021
24/01/2019,11 - 12,100.59,1.07,0.043
24/01/2019,12 - 13,95.39,0.92,0.014
24/01/2019,13 - 14,89.87,0.35,0.021
24/01/2019,14 - 15,87.89,0.11,0.011
24/01/2019,15 - 16,88.48,0.27,0
24/01/2019,16 - 17,95.22,0.28,0
24/01/2019,17 - 18,107.06,0.46,0
24/01/2019,18 - 19,100.51,0.54,0
24/01/2019,19 - 20,73.54,0.49,0
24/01/2019,20 - 21,60.48,0.61,0
24/01/2019,21 - 22,59.88,0.48,0
24/01/2019,22 - 23,58.58,0.36,0
24/01/2019,23 - 00,57.32,0.13,0
25/01/2019,00 - 01,57.41,0.12,0
25/01/2019,01 - 02,56.59,0.13,0
25/01/2019,02 - 03,56.07,0.1,0
25/01/2019,03 - 04,55.56,0.11,0
25/01/2019,04 - 05,55.4,0.1,0
25/01/2019,05 - 06,59.11,0.11,0
25/01/2019,06 - 07,69.54,0.11,0
25/01/2019,07 - 08,84.66,0.28,0
25/01/2019,08 - 09,94.1,0.31,0
25/01/2019,09 - 10,90.84,0.11,0.003
25/01/2019,10 - 11,83.14,0.1,0.008
25/01/2019,11 - 12,78.17,0.11,0.051
25/01/2019,12 - 13,69.21,0.1,0.006
25/01/2019,13 - 14,65.26,0.13,0.003
25/01/2019,14 - 15,62.78,0.26,0.005
25/01/2019,15 - 16,62.35,0.17,0
25/01/2019,16 - 17,63.14,0.15,0
25/01/2019,17 - 18,66.81,0.21,0
25/01/2019,18 - 19,65.74,0.41,0
25/01/2019,19 - 20,57.4,0.42,0
