,lon,lat,distance,ro_wind,ro_radiation
1,-16.5,32.7,3258.8726096478845,-0.02510730232353873,0.6817738285791973
2,-16.5,33.0,3232.927703241732,0.013812844689375738,0.6787177146308857
3,-16.5,33.3,3207.104927088299,0.05308367429711899,0.6732428169643924
4,-16.5,33.6,3181.407318446157,0.06482876426473899,0.6720762488693923
5,-16.5,33.9,3155.837998994328,0.06699949970666877,0.6725858082208432
6,-16.5,34.2,3130.4001770264103,0.06495673233212566,0.6721578776877792
7,-16.5,34.5,3105.097149667332,0.06463242772377291,0.6705736201900707
8,-16.5,34.8,3079.93230510885,0.06342831221525878,0.6689178415855884
9,-16.5,35.1,3054.9091248594696,0.060971841013405,0.6690139370590341
10,-16.5,35.4,3030.0311860038673,0.05712879876580679,0.6693574875098286
11,-16.5,35.7,3005.3021634663596,0.05567205356000554,0.6726879161335351
12,-16.5,36.0,2980.7258322722832,0.056794322890843345,0.6764168638504562
13,-16.5,36.3,2956.3060698005015,0.06037263122675917,0.6790228503174256
14,-16.5,36.6,2932.0468580195293,0.06429997761682381,0.6789591686452058
15,-16.5,36.9,2907.95228569897,0.06774121953890569,0.6774872758037623
16,-16.5,37.2,2884.02655058714,0.07117449773399466,0.6767459852377221
17,-16.5,37.5,2860.273961544873,0.07365610932106023,0.6750076848845304
18,-16.5,37.8,2836.698940624587,0.07391633504086423,0.6780702907395351
19,-16.5,38.1,2813.3060250826557,0.0734649111773016,0.6796160849562846
20,-16.5,38.4,2790.09986931216,0.07141178860138646,0.6800118428897012
21,-16.5,38.7,2767.0852466819147,0.06872246734673466,0.6796253790875295
22,-16.5,39.0,2744.2670512666455,0.06978110155656554,0.6786804006644481
23,-16.5,39.3,2721.6502994518737,0.07235971895081701,0.6801977682341168
24,-16.5,39.6,2699.24013139594,0.07625254218654198,0.6798045254047272
25,-16.5,39.9,2677.0418123302907,0.0808034324231885,0.6798957716992428
26,-16.5,40.2,2655.060733677837,0.08551332388929074,0.6794840930118439
27,-16.5,40.5,2633.3024139679346,0.09069751242381505,0.6799720960695161
28,-16.5,40.8,2611.772499525122,0.0951774154510372,0.6815049247268411
29,-16.5,41.1,2590.476764907476,0.09891951338443775,0.6820301197526538
30,-16.5,41.4,2569.4211130691056,0.1043647335091802,0.6819733836089882
31,-16.5,41.7,2548.611575219971,0.10901793526049999,0.6807112986958763
32,-16.5,42.0,2528.0543103550103,0.11476773177034155,0.6831733854451074
33,-16.5,42.3,2507.7556044233047,0.12010652646889063,0.68627278972106
34,-16.5,42.6,2487.721869106964,0.12307778964671183,0.6891525077445425
35,-16.5,42.9,2467.9596401783483,0.1281602982081594,0.6914486787711749
36,-16.5,43.2,2448.4755754034472,0.13555706339485316,0.6918441634775815
37,-16.5,43.5,2429.276451958504,0.14297209463719052,0.6915027376972254
38,-16.5,43.8,2410.36916332648,0.1472555472066674,0.689471726143507
39,-16.5,44.1,2391.7607156397125,0.1499416517218352,0.6889621192976807
40,-16.5,44.4,2373.45822343516,0.15624576114957464,0.6892482987400532
41,-16.5,44.7,2355.468904788877,0.16204954942874883,0.6898460577685884
42,-16.5,45.0,2337.80007579715,0.16374732254147517,0.6907914527576829
43,-16.5,45.3,2320.459144372711,0.16125115507497584,0.6921243032103334
44,-16.5,45.6,2303.453603326,0.15664598512458355,0.6934661485071646
45,-16.5,45.9,2286.79102270346,0.15272482284625413,0.6916333222764122
46,-16.5,46.2,2270.4790413572705,0.15184715119924228,0.6885442697058204
47,-16.5,46.5,2254.525357724091,0.15212338280839366,0.6834924326239253
48,-16.5,46.8,2238.9377197939566,0.15235897793751782,0.6814222545321231
49,-16.5,47.1,2223.7239142547437,0.15162651726691356,0.6793369899531364
50,-16.5,47.4,2208.8917548025765,0.15129336108568736,0.67717391299081
51,-16.5,47.7,2194.4490696139924,0.1481656895006845,0.6779251714561033
52,-16.5,48.0,2180.4036879820223,0.14415080217761633,0.6784139065332339
53,-16.5,48.3,2166.763426125038,0.13932059389779652,0.6820624024158526
54,-16.5,48.6,2153.536072184854,0.1386204307764683,0.6862397453282676
55,-16.5,48.9,2140.729370438507,0.14005218485008308,0.6901644144178257
56,-16.5,49.2,2128.351004756815,0.14315123842072527,0.6949773065055426
57,-16.5,49.5,2116.4085813518814,0.14740367623365014,0.6968131258770046
58,-16.5,49.8,2104.909610865157,0.15671161284143287,0.6981768775549642
59,-16.5,50.1,2093.8614898574347,0.16587266238038112,0.6978618874156479
60,-16.5,50.4,2083.2714817720625,0.17572458125177,0.6986717632641547
61,-16.5,50.7,2073.1466974525592,0.1837871457104275,0.6989364179183885
62,-16.5,51.0,2063.494075305642,0.18794140413864452,0.6986056750532365
63,-16.5,51.3,2054.320361210161,0.18758153689994603,0.6998986544411588
64,-16.5,51.6,2045.6320882814032,0.18579664837551643,0.6996277177745925
65,-16.5,51.9,2037.435556608629,0.18380882144412303,0.7006513334517858
66,-16.5,52.2,2029.7368130910954,0.18077489411289246,0.7002465560448355
67,-16.5,52.5,2022.5416315042633,0.17646914617195403,0.6986057903808158
68,-16.5,52.8,2015.8554929330505,0.17839040295137426,0.6960901817527704
69,-16.5,53.1,2009.6835667126604,0.1816856020864298,0.6927418694267516
70,-16.5,53.4,2004.030692019736,0.1840874744805354,0.6925663520881409
71,-16.5,53.7,1998.901360256938,0.18767743058795391,0.6940057158067668
72,-16.5,54.0,1994.2996983726407,0.18902296763041257,0.6999099620655199
73,-16.5,54.3,1990.2294532541252,0.1881421696779018,0.704355882162756
74,-16.5,54.6,1986.6939773273123,0.1887871238194055,0.7075909261911802
