Energy	DFlux	DFluence_1year
MeV	cm-2MeV-1s-1	
0,1	61489000	1,939117104E15
0,15	35929000	1,133056944E15
0,2	17613000	555443568000000
0,3	4500700	141934075200000
0,4	1644800	51870412800000
0,5	597690	18848751840000
0,6	263920	8322981120000
0,7	131870	4158652320000
1	24266	765252576000
1,5	851,83	26863310880
2	12,244	386126784
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
10	0	0
15	0	0
20	0	0
30	0	0
40	0	0
50	0	0
60	0	0
70	0	0
100	0	0
150	0	0
200	0	0
300	0	0
400	0	0
